"","index","employees.employee.employment.public.union.board.political.labor.employer.government","general.attorney.briefs.solicitor.argued.assistant.cause.curiae.brief.jr","communist.party.organization.board.foreign.registration.act.control.movement.organizations","school.religious.schools.student.establishment.religion.students.forum.program.university","grand.jury.press.information.footnote.privilege.news.criminal.sources.investigation","mr.debate.senator.clause.legislative.said.privilege.plaintiff.office.house","act.congress.committee.answer.service.inquiry.president.united.questions.security","opinion.filed.joined.district.post.respondents.held.argued.dissenting.jj","speech.government.interest.act.interests.governmental.opinion.case.united.states","advertising.commercial.speech.regulations.information.central.cable.marketing.interest.broadcasting","candidates.candidate.political.election.footnote.contributions.party.expenditures.contribution.campaign","injunction.review.maryland.district.restraint.prior.judicial.order.footnote.relief","limits.federal.election.buckley.bcra.contributions.campaign.political.candidates.candidate","affirmed.syllabus.decided.argued.freedom.held.act.law.case.reversed","false.statements.jury.damages.petitioner.malice.times.respondent.actual.trial","solicitation.charitable.fraud.paid.fee.organizations.requirement.telemarketers.circulators.north","flag.words.peace.conviction.ohio.convicted.conduct.street.symbol.group","obscene.obscenity.material.materials.film.sexual.standards.films.indecent.minors","religious.tax.prison.religion.inmates.rfra.exercise.burden.inmate.sales","ordinance.city.picketing.public.streets.ordinances.park.police.permit.regulation","syllabus","caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes","landmark"
"11",10,0,0,0.00427350427350427,0,0.00427350427350427,0,0,0.00427350427350427,0,0,0,0,0.00427350427350427,0.700854700854701,0.273504273504274,0,0.00854700854700855,0,0,0,"syllabus11","1919-125","1919-125-01","1919-125-01-01","1919-125-01-01-01","3/8/1920",1,"252 U.S. 239",1919,905,"White","234","PIERCE et al. v. UNITED STATES","11/18/1919","",142,NA,27,NA,13,NA,NA,0,95,NA,95,NA,0,1,NA,1,1,2,0,0,0,0,30060,3,1,0,1,1,2,200,"",66,56,1,7,2,"No"
"12",11,0,0.0138888888888889,0,0,0.0138888888888889,0.0416666666666667,0,0.222222222222222,0.0833333333333333,0,0,0,0,0.5,0.125,0,0,0,0,0,"syllabus12","1920-010","1920-010-01","1920-010-01-01","1920-010-01-01-01","12/13/1920",1,"254 U.S. 325",1920,905,"White","79","GILBERT v. STATE OF MINNESOTA","11/10/1920","",126,NA,28,28,13,NA,NA,0,302,28,300,28,0,1,2,1,1,2,0,0,0,0,30010,3,1,0,2,4,2,200,"",58,56,1,8,1,"No"
"13",12,0,0,0.0101010101010101,0.00505050505050505,0.0858585858585859,0,0.106060606060606,0,0.00505050505050505,0,0,0.267676767676768,0.0101010101010101,0.373737373737374,0.131313131313131,0,0,0,0,0.00505050505050505,"syllabus13","1920-158","1920-158-01","1920-158-01-01","1920-158-01-01-01","3/7/1921",1,"255 U.S. 407",1920,905,"White","155","UNITED STATES ex rel. MILWAUKEE SOCIAL DEMOCRATIC PUBLISHING COMPANY v. BURLESON, POSTMASTER GENERAL OF THE UNITED STATES","1/18/1921","",220,NA,412,NA,13,112,NA,0,19,NA,32,NA,0,1,2,1,1,2,0,0,0,0,30010,3,1,0,3,NA,9,900,"",69,56,1,7,2,"No"
"14",13,0.00390625,0.01953125,0,0,0.01171875,0.05078125,0,0,0,0,0,0,0,0.72265625,0,0,0.1875,0,0.00390625,0,"syllabus14","1924-169","1924-169-01","1924-169-01-01","1924-169-01-01-01","6/8/1925",1,"268 U.S. 652",1924,1005,"Taft","19","GITLOW v. PEOPLE OF NEW YORK","4/12/1923","11/23/1923",126,NA,28,37,13,NA,NA,0,302,37,300,37,0,1,2,1,1,2,0,0,0,0,30010,3,1,0,2,NA,2,200,"",73,70,1,7,2,"Yes"
"15",14,0.010989010989011,0,0.0366300366300366,0,0.00366300366300366,0.00732600732600733,0.0146520146520147,0.0842490842490843,0.00732600732600733,0,0,0.043956043956044,0,0.73992673992674,0.00732600732600733,0.00366300366300366,0.0256410256410256,0.00366300366300366,0,0.010989010989011,"syllabus15","1926-050","1926-050-01","1926-050-01-01","1926-050-01-01-01","5/16/1927",1,"274 U.S. 357",1926,1005,"Taft","3","WHITNEY v. CALIFORNIA","10/6/1925","3/18/1926",126,NA,28,6,13,NA,NA,0,302,6,300,6,0,1,9,1,1,2,0,0,0,0,30010,3,1,0,2,2,2,200,"",73,70,1,9,0,"No"
"16",15,0,0,0,0,0,0.0551724137931034,0.0275862068965517,0,0,0,0,0.0413793103448276,0,0.786206896551724,0.0689655172413793,0,0,0,0.0137931034482759,0.00689655172413793,"syllabus16","1926-074","1926-074-01","1926-074-01-01","1926-074-01-01-01","5/16/1927",1,"274 U.S. 328",1926,1005,"Taft","135","BURNS v. UNITED STATES","11/24/1926","",126,NA,27,NA,13,NA,NA,0,50,NA,50,NA,0,1,NA,1,1,2,0,0,0,0,30060,3,1,0,4,NA,3,369,"",72,70,1,8,1,"No"
"17",16,0.0111731843575419,0,0,0,0.00558659217877095,0.0502793296089385,0,0,0,0,0,0.0279329608938547,0.00558659217877095,0.843575418994413,0.0223463687150838,0,0.0279329608938547,0,0.00558659217877095,0,"syllabus17","1926-077","1926-077-01","1926-077-01-01","1926-077-01-01-01","5/16/1927",1,"274 U.S. 380",1926,1005,"Taft","48","FISKE v. KANSAS","5/3/1926","",126,NA,28,20,13,NA,NA,0,302,20,300,20,0,1,2,1,3,4,0,1,0,0,30010,3,2,0,2,NA,2,230,"",73,70,1,9,0,"No"
"18",17,0,0,0.0136986301369863,0,0.0228310502283105,0,0.0045662100456621,0,0.114155251141553,0,0,0,0.0319634703196347,0.479452054794521,0,0,0.333333333333333,0,0,0,"syllabus18","1930-059","1930-059-01","1930-059-01-01","1930-059-01-01-01","5/18/1931",1,"283 U.S. 359",1930,1102,"Hughes","584","STROMBERG v. CALIFORNIA","4/15/1931","",126,NA,28,6,2,NA,NA,0,302,6,300,6,0,1,9,2,3,2,0,0,0,0,30010,3,2,0,2,NA,2,200,"",75,75,1,7,2,"Yes"
"19",18,0,0,0.00403225806451613,0,0.0483870967741935,0.0282258064516129,0,0,0,0,0,0.100806451612903,0,0.318548387096774,0.459677419354839,0,0.00403225806451613,0.00806451612903226,0.0282258064516129,0,"syllabus19","1930-084","1930-084-01","1930-084-01-01","1930-084-01-01-01","6/1/1931",1,"283 U.S. 697",1930,1102,"Hughes","91","NEAR v. MINNESOTA EX REL. OLSON, COUNTY ATTORNEY","1/30/1930","",190,NA,8,28,2,NA,NA,0,302,28,300,28,0,1,2,2,3,9,0,0,0,0,30030,3,2,0,2,NA,2,200,"",75,75,1,5,4,"No"
"20",19,0,0,0,0,0,0.0196078431372549,0,0,0.00980392156862745,0,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.941176470588235,0,0,0,0,0,0,"syllabus20","1936-060","1936-060-01","1936-060-01-01","1936-060-01-01-01","1/4/1937",1,"299 U.S. 353",1936,1103,"Hughes","123","DE JONGE v. OREGON","12/9/1936","",126,NA,28,43,2,NA,NA,0,302,43,300,43,0,1,2,2,3,2,0,0,0,0,30060,3,2,0,4,NA,3,369,"",75,75,1,8,0,"No"
"21",20,0,0,0.134831460674157,0,0,0,0,0,0.0337078651685393,0.0112359550561798,0,0,0,0.775280898876405,0,0,0.0449438202247191,0,0,0,"syllabus21","1936-115","1936-115-01","1936-115-01-01","1936-115-01-01-01","4/26/1937",1,"301 U.S. 242",1936,1103,"Hughes","474","HERNDON v. LOWRY, SHERIFF","2/8/1937","",215,NA,8,13,2,117,13,0,302,13,300,13,0,1,6,1,3,4,0,1,0,0,30060,3,2,0,3,NA,9,900,"",76,75,1,5,4,"Yes"
"22",21,0.0206185567010309,0,0,0,0.0206185567010309,0,0,0,0,0.0103092783505155,0,0,0,0.587628865979381,0,0.0103092783505155,0,0.0927835051546392,0.0103092783505155,0.247422680412371,"syllabus22","1937-106","1937-106-01","1937-106-01-01","1937-106-01-01-01","3/28/1938",1,"303 U.S. 444",1937,1105,"Hughes","391","LOVELL v. CITY OF GRIFFIN","2/4/1938","",126,NA,3,13,2,NA,NA,0,302,13,300,13,0,1,9,2,4,2,0,0,0,0,30020,3,2,0,3,NA,9,900,"",75,75,1,8,0,"No"
"23",22,0.0179282868525896,0,0.0099601593625498,0,0.00398406374501992,0.0836653386454183,0,0.0597609561752988,0.0099601593625498,0,0,0.00597609561752988,0.00398406374501992,0.633466135458167,0,0,0.00398406374501992,0,0,0.167330677290837,"syllabus23","1938-045","1938-045-01","1938-045-01-01","1938-045-01-01-01","6/5/1939",7,"307 U.S. 496",1938,1107,"Hughes","651","HAGUE, MAYOR, et al. v. COMMITTEE FOR INDUSTRIAL ORGANIZATION et al.","2/27/1939","",3,35,247,NA,1,NA,NA,0,92,NA,23,NA,0,10,10,2,4,2,0,0,0,0,30010,3,2,0,2,NA,2,230,"",76,75,1,5,2,"No"
"24",23,0.00485436893203883,0,0,0,0.0194174757281553,0.0485436893203883,0,0,0.0776699029126214,0,0,0,0,0.378640776699029,0,0.0194174757281553,0,0,0.00970873786407767,0.441747572815534,"syllabus24","1939-012","1939-012-01","1939-012-01-01","1939-012-01-01-01","11/22/1939",1,"308 U.S. 147",1939,1107,"Hughes","11","SCHNEIDER v. STATE (TOWN OF IRVINGTON)","10/13/1939","",126,NA,3,35,1,NA,NA,0,302,35,300,35,0,10,2,2,4,2,0,0,0,0,30010,3,2,0,2,NA,2,200,"",76,75,1,7,1,"Yes"
"25",24,0,0,0.0522388059701493,0.298507462686567,0,0,0,0.0746268656716418,0.00746268656716418,0,0,0.0671641791044776,0,0.343283582089552,0,0,0.0671641791044776,0,0.0895522388059701,0,"syllabus25","1939-078","1939-078-01","1939-078-01-01","1939-078-01-01-01","6/3/1940",1,"310 U.S. 586",1939,1108,"Hughes","690","MINERSVILLE SCHOOL DISTRICT, BOARD OF EDUCATION OF MINERSVILLE SCHOOL DISTRICT, et al. v. GOBITIS et al.","4/25/1940","",21,45,239,NA,1,117,45,0,109,NA,23,NA,0,2,2,2,1,3,0,1,0,0,30160,3,1,0,2,NA,2,230,"",80,75,1,8,1,"No"
"26",25,0.0779661016949153,0.00338983050847458,0,0.00338983050847458,0.0169491525423729,0,0,0,0.125423728813559,0,0,0,0,0.589830508474576,0,0.00677966101694915,0.0711864406779661,0,0,0.105084745762712,"syllabus26","1939-082","1939-082-01","1939-082-01-01","1939-082-01-01-01","4/22/1940",1,"310 U.S. 88",1939,1108,"Hughes","514","THORNHILL v. ALABAMA","2/29/1940","",126,NA,28,1,1,117,1,0,302,1,301,1,0,10,2,2,3,2,0,0,0,0,30010,3,2,0,2,NA,8,800,"",82,75,1,8,1,"Yes"
"27",26,0,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0.727272727272727,0,0.0454545454545455,0.0454545454545455,0,0,0.159090909090909,"syllabus27","1939-083","1939-083-01","1939-083-01-01","1939-083-01-01-01","4/22/1940",1,"310 U.S. 106",1939,1108,"Hughes","667","CARLSON v. CALIFORNIA","2/29/1940","",218,NA,28,6,2,117,6,0,302,6,301,6,0,1,2,1,4,3,0,1,0,0,30150,3,2,0,2,NA,8,800,"",82,75,1,8,1,"No"
"28",27,0,0.00851063829787234,0.00425531914893617,0.0425531914893617,0,0.0170212765957447,0.00851063829787234,0,0,0,0,0.051063829787234,0,0.553191489361702,0.00851063829787234,0.00851063829787234,0.102127659574468,0,0.0468085106382979,0.148936170212766,"syllabus28","1939-124","1939-124-01","1939-124-01-01","1939-124-01-01-01","5/20/1940",1,"310 U.S. 296",1939,1108,"Hughes","632","CANTWELL et al. v. CONNECTICUT","3/29/1940","",126,NA,28,37,1,117,8,0,302,8,300,8,0,10,7,1,3,4,0,1,0,0,30160,3,2,0,3,NA,9,900,"",76,75,1,9,0,"No"
"29",28,0,0,0,0,0,0.036231884057971,0,0,0,0,0,0,0,0.434782608695652,0,0,0,0,0,0.528985507246377,"syllabus29","1940-152","1940-152-01","1940-152-01-01","1940-152-01-01-01","3/31/1941",1,"312 U.S. 569",1940,1108,"Hughes","502","COX et al. v. NEW HAMPSHIRE","3/7/1941","",130,NA,28,34,2,NA,NA,0,302,34,300,34,0,1,2,1,1,2,0,0,0,0,30010,3,1,0,2,4,8,800,"",75,75,1,8,0,"Yes"
"30",29,0,0.0232558139534884,0,0.00581395348837209,0.156976744186047,0,0,0,0.168604651162791,0,0,0.00581395348837209,0,0.61046511627907,0.0232558139534884,0,0.00581395348837209,0,0,0,"syllabus30","1941-004","1941-004-01","1941-004-01-01","1941-004-01-01-01","12/8/1941",1,"314 U.S. 252",1941,1202,"Stone","1","BRIDGES v. CALIFORNIA","10/18/1940","10/13/1941",126,NA,28,6,1,NA,NA,0,302,6,300,6,0,10,2,2,3,2,0,0,0,0,30010,3,2,0,2,NA,2,200,"",78,78,1,5,4,"No"
"31",30,0.0921052631578947,0,0,0,0,0.0131578947368421,0,0,0,0,0,0,0.0131578947368421,0.815789473684211,0,0.0526315789473684,0.0131578947368421,0,0,0,"syllabus31","1941-075","1941-075-01","1941-075-01-01","1941-075-01-01-01","3/30/1942",1,"315 U.S. 769",1941,1202,"Stone","901","BAKERY & PASTRY DRIVERS & HELPERS LOCAL 802 OF THE INTERNATIONAL BROTHERHOOD OF TEAMSTERS et al. v. WOHL et al.","1/13/1942","",249,NA,233,NA,1,NA,NA,0,302,37,300,37,0,12,2,2,3,2,0,0,0,0,30010,3,2,0,2,NA,2,200,"",84,74,1,8,0,"No"
"32",31,0,0,0,0.0298507462686567,0,0.0298507462686567,0,0.0746268656716418,0,0.0895522388059701,0,0.0149253731343284,0,0.358208955223881,0,0,0,0.0149253731343284,0,0.388059701492537,"syllabus32","1941-137","1941-137-01","1941-137-01-01","1941-137-01-01-01","4/13/1942",1,"316 U.S. 52",1941,1202,"Stone","707","VALENTINE, POLICE COMMISSIONER OF THE CITY OF NEW YORK, v. CHRESTENSEN","3/31/1942","",19,37,218,NA,1,117,37,0,96,NA,22,NA,0,12,2,2,1,3,0,1,0,0,30020,3,1,0,2,NA,2,200,"",76,74,1,9,0,"Yes"
"33",32,0,0,0.019047619047619,0,0,0,0,0.0285714285714286,0,0,0,0.00952380952380952,0.0380952380952381,0.333333333333333,0,0,0.571428571428571,0,0,0,"syllabus33","1941-148","1941-148-01","1941-148-01-01","1941-148-01-01-01","3/9/1942",1,"315 U.S. 568",1941,1202,"Stone","255","CHAPLINSKY v. NEW HAMPSHIRE","2/5/1942","",126,NA,28,34,2,NA,NA,0,302,34,300,34,0,1,2,1,1,2,0,0,0,0,30010,3,1,0,1,NA,8,800,"",82,74,1,9,0,"No"
"34",33,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0.333333333333333,0,0,0.119047619047619,0,0,0.476190476190476,"syllabus34","1942-073","1942-073-01","1942-073-01-01","1942-073-01-01-01","5/3/1943",1,"319 U.S. 141",1942,1202,"Stone","238","MARTIN v. CITY OF STRUTHERS","3/11/1943","",130,NA,3,41,2,NA,NA,0,302,41,300,41,0,1,9,1,4,3,0,1,0,0,30010,3,2,0,2,NA,2,200,"",78,74,1,5,4,"No"
"35",34,0,0.0447761194029851,0.0149253731343284,0,0,0.0149253731343284,0.0746268656716418,0.0298507462686567,0.17910447761194,0,0,0,0,0.208955223880597,0,0,0.343283582089552,0,0.0447761194029851,0.0447761194029851,"syllabus35","1942-130","1942-130-01","1942-130-01-01","1942-130-01-01-01","6/14/1943",1,"319 U.S. 583",1942,1202,"Stone","826","TAYLOR v. MISSISSIPPI","4/15/1943","",130,NA,28,10,2,NA,NA,0,302,29,300,29,0,1,2,1,3,3,0,1,0,0,30010,3,2,0,2,NA,2,200,"",76,74,1,9,0,"No"
"36",35,0,0.00970873786407767,0.0194174757281553,0.252427184466019,0,0,0.0485436893203883,0.087378640776699,0.0776699029126214,0,0,0,0,0.300970873786408,0,0,0.203883495145631,0,0,0,"syllabus36","1942-131","1942-131-01","1942-131-01-01","1942-131-01-01-01","6/14/1943",1,"319 U.S. 624",1942,1202,"Stone","591","WEST VIRGINIA STATE BOARD OF EDUCATION et al. v. BARNETTE et al.","3/11/1943","",21,57,130,NA,2,117,57,1,131,NA,131,NA,0,1,NA,2,3,2,0,0,1,0,30010,3,2,0,2,NA,8,800,"",84,74,1,6,3,"No"
"37",36,0,0,0.0390625,0,0,0.0390625,0,0,0,0.0078125,0.0078125,0,0,0.421875,0,0.0703125,0,0,0.1796875,0.234375,"syllabus37","1942-154","1942-154-01","1942-154-01-01","1942-154-01-01-01","5/3/1943",1,"319 U.S. 105",1942,1202,"Stone","480","MURDOCK v. PENNSYLVANIA (CITY OF JEANNETTE)","3/10/1943","",130,NA,3,45,1,NA,NA,0,302,45,300,45,0,12,9,1,4,4,0,1,1,0,30160,3,2,0,3,NA,9,900,"",81,74,1,5,4,"No"
"38",37,0,0,0,0,0,0,0.0166666666666667,0,0,0.0166666666666667,0,0,0,0.633333333333333,0,0,0.05,0,0.0666666666666667,0.216666666666667,"syllabus38","1942-160","1942-160-01","1942-160-01-01","1942-160-01-01-01","3/8/1943",1,"318 U.S. 418",1942,1202,"Stone","559","LARGENT v. TEXAS","2/12/1943","",130,NA,28,51,2,NA,NA,0,302,51,302,51,0,1,NA,2,4,2,0,0,0,0,30160,3,2,0,2,NA,2,230,"",79,74,1,8,0,"No"
"39",38,0,0,0.237410071942446,0,0,0,0.129496402877698,0.0287769784172662,0.0143884892086331,0,0,0,0,0.482014388489209,0.079136690647482,0,0.0287769784172662,0,0,0,"syllabus39","1942-162","1942-162-01","1942-162-01-01","1942-162-01-01-01","3/1/1943",1,"318 U.S. 236",1942,1202,"Stone","458","VIERECK v. UNITED STATES","2/1/1943","",126,NA,27,NA,1,NA,NA,0,55,NA,32,NA,0,12,2,2,1,3,0,1,0,0,30060,3,1,0,4,NA,3,369,"",74,74,1,5,2,"No"
"40",39,0,0.0229007633587786,0.0229007633587786,0.00763358778625954,0,0,0,0.404580152671756,0,0,0.00763358778625954,0,0,0.175572519083969,0.198473282442748,0.0152671755725191,0,0.0229007633587786,0.114503816793893,0.00763358778625954,"syllabus40","1943-132","1943-132-01","1943-132-01-01","1943-132-01-01-01","4/24/1944",1,"322 U.S. 78",1943,1202,"Stone","472","UNITED STATES v. BALLARD et al.","3/3/1944","",27,NA,126,NA,1,NA,NA,0,51,NA,29,NA,1,10,3,2,1,4,0,1,0,0,30160,3,1,0,1,NA,2,202,"",81,76,1,7,2,"No"
"41",40,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0,0.447368421052632,0,0,0.0263157894736842,0.0263157894736842,0.210526315789474,0.263157894736842,"syllabus41","1943-136","1943-136-01","1943-136-01-01","1943-136-01-01-01","3/27/1944",1,"321 U.S. 573",1943,1202,"Stone","486","FOLLETT v. TOWN OF MCCORMICK","2/11/1944","",126,NA,3,48,2,NA,NA,0,302,48,300,48,0,1,2,1,4,3,0,1,0,0,30160,3,2,0,7,NA,9,900,"",81,74,1,6,3,"No"
"42",41,0.0727272727272727,0,0.0424242424242424,0,0.00606060606060606,0,0.00606060606060606,0.00606060606060606,0.121212121212121,0,0.0121212121212121,0.0181818181818182,0,0.642424242424242,0,0.0727272727272727,0,0,0,0,"syllabus42","1944-128","1944-128-01","1944-128-01-01","1944-128-01-01-01","1/8/1945",1,"323 U.S. 516",1944,1202,"Stone","14","THOMAS v. COLLINS, SHERIFF","5/1/1944","10/11/1944",249,NA,5,51,2,NA,NA,0,300,51,300,51,0,1,NA,1,3,3,0,1,0,0,30010,3,2,0,3,NA,9,900,"",85,78,1,5,4,"No"
